time_lookup time_connect time_appconnect time_pretransfer time_redirect timestarttransfer time_total
0.004 0.006 0.159 0.159 0.000 0.160 0.161
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.161 0.161 0.000 0.162 0.162
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.153 0.154 0.000 0.155 0.155
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.161 0.161 0.000 0.164 0.164
0.004 0.006 0.163 0.163 0.000 0.164 0.164
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.167 0.167 0.000 0.168 0.169
0.004 0.006 0.177 0.177 0.000 0.179 0.179
0.004 0.006 0.161 0.161 0.000 0.162 0.162
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.149 0.149 0.000 0.151 0.151
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.160 0.161 0.000 0.162 0.162
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.155 0.155 0.000 0.156 0.156
0.004 0.006 0.160 0.160 0.000 0.161 0.161
0.004 0.006 0.162 0.162 0.000 0.163 0.163
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.005 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.162 0.162 0.000 0.163 0.163
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.150 0.150 0.000 0.151 0.151
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.163 0.163 0.000 0.164 0.164
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.164 0.164 0.000 0.165 0.166
0.004 0.006 0.150 0.150 0.000 0.151 0.152
0.004 0.006 0.169 0.169 0.000 0.171 0.171
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.162 0.162 0.000 0.163 0.163
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.158 0.158 0.000 0.159 0.160
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.154 0.155 0.000 0.156 0.156
0.004 0.006 0.148 0.148 0.000 0.150 0.150
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.154 0.154 0.000 0.155 0.156
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.150 0.150 0.000 0.152 0.152
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.150 0.150 0.000 0.152 0.152
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.163 0.163 0.000 0.164 0.164
0.004 0.006 0.151 0.151 0.000 0.152 0.152
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.161 0.161 0.000 0.162 0.163
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.159 0.159 0.000 0.161 0.162
0.004 0.006 0.149 0.149 0.000 0.150 0.151
0.004 0.006 0.158 0.158 0.000 0.159 0.160
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.012 0.014 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.148 0.148 0.000 0.149 0.149
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.148 0.148 0.000 0.149 0.150
0.004 0.006 0.164 0.164 0.000 0.165 0.165
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.147 0.147 0.000 0.149 0.149
0.004 0.005 0.151 0.151 0.000 0.152 0.152
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.155 0.155 0.000 0.156 0.156
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.148 0.148 0.000 0.150 0.150
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.163 0.163 0.000 0.164 0.164
0.004 0.006 0.150 0.150 0.000 0.152 0.152
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.150 0.150 0.000 0.152 0.152
0.004 0.006 0.150 0.150 0.000 0.151 0.151
0.004 0.006 0.170 0.170 0.000 0.172 0.172
0.004 0.006 0.158 0.158 0.000 0.159 0.159
0.004 0.006 0.147 0.147 0.000 0.149 0.149
0.004 0.006 0.167 0.167 0.000 0.169 0.169
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.149 0.149 0.000 0.151 0.151
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.154 0.155 0.000 0.156 0.156
0.004 0.006 0.150 0.150 0.000 0.151 0.151
0.004 0.006 0.160 0.160 0.000 0.161 0.161
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.150 0.150 0.000 0.151 0.151
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.159 0.159 0.000 0.161 0.162
0.004 0.006 0.152 0.152 0.000 0.153 0.153
0.004 0.006 0.172 0.172 0.000 0.174 0.174
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.158 0.158 0.000 0.159 0.159
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.147 0.147 0.000 0.149 0.149
0.004 0.006 0.162 0.163 0.000 0.164 0.164
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.154 0.154 0.000 0.155 0.156
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.160 0.160 0.000 0.162 0.163
0.004 0.006 0.162 0.162 0.000 0.163 0.163
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.160 0.160 0.000 0.161 0.161
0.004 0.006 0.158 0.159 0.000 0.160 0.160
0.004 0.006 0.148 0.148 0.000 0.150 0.150
0.004 0.006 0.165 0.165 0.000 0.166 0.166
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.155 0.155 0.000 0.156 0.156
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.165 0.165 0.000 0.166 0.167
0.004 0.006 0.155 0.155 0.000 0.156 0.156
0.004 0.006 0.154 0.154 0.000 0.155 0.156
0.004 0.006 0.158 0.158 0.000 0.159 0.159
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.158 0.158 0.000 0.159 0.159
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.161 0.162 0.000 0.163 0.163
0.004 0.006 0.158 0.158 0.000 0.159 0.159
0.004 0.005 0.152 0.152 0.000 0.153 0.153
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.163 0.163 0.000 0.164 0.165
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.149 0.150 0.000 0.151 0.151
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.153 0.153 0.000 0.154 0.154
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.157 0.157 0.000 0.158 0.158
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.012 0.014 0.164 0.164 0.000 0.165 0.165
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.509 0.511 0.661 0.661 0.000 0.663 0.663
0.004 0.006 0.161 0.161 0.000 0.162 0.162
0.004 0.006 0.155 0.155 0.000 0.156 0.156
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.171 0.171 0.000 0.172 0.173
0.004 0.006 0.163 0.163 0.000 0.164 0.164
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.159 0.159 0.000 0.160 0.160
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.005 0.146 0.146 0.000 0.148 0.148
0.004 0.006 0.183 0.183 0.000 0.184 0.185
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.159 0.159 0.000 0.160 0.160
0.004 0.006 0.155 0.155 0.000 0.156 0.156
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.163 0.164 0.000 0.165 0.165
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.168 0.168 0.000 0.170 0.170
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.145 0.145 0.000 0.146 0.146
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.005 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.146 0.146 0.000 0.148 0.148
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.155 0.155 0.000 0.156 0.157
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.169 0.169 0.000 0.171 0.171
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.162 0.162 0.000 0.163 0.163
0.004 0.005 0.146 0.146 0.000 0.148 0.148
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.146 0.146 0.000 0.148 0.148
0.029 0.030 0.194 0.194 0.000 0.197 0.197
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.166 0.166 0.000 0.167 0.168
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.151 0.151 0.000 0.152 0.152
0.004 0.006 0.151 0.151 0.000 0.152 0.152
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.157 0.157 0.000 0.158 0.159
0.004 0.006 0.183 0.183 0.000 0.185 0.185
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.164 0.164 0.000 0.165 0.165
0.004 0.006 0.150 0.150 0.000 0.151 0.152
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.168 0.168 0.000 0.170 0.170
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.161 0.161 0.000 0.162 0.162
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.158 0.159 0.000 0.160 0.160
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.162 0.163 0.000 0.164 0.164
0.004 0.006 0.146 0.147 0.000 0.149 0.149
0.004 0.006 0.158 0.158 0.000 0.159 0.159
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.154 0.154 0.000 0.155 0.156
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.168 0.168 0.000 0.170 0.170
0.004 0.006 0.149 0.149 0.000 0.151 0.151
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.169 0.169 0.000 0.171 0.171
0.012 0.014 0.170 0.170 0.000 0.172 0.172
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.146 0.146 0.000 0.148 0.148
0.004 0.006 0.169 0.169 0.000 0.171 0.171
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.163 0.163 0.000 0.164 0.165
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.157 0.157 0.000 0.158 0.158
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.183 0.183 0.000 0.185 0.185
0.004 0.006 0.169 0.169 0.000 0.171 0.171
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.005 0.159 0.159 0.000 0.160 0.161
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.171 0.171 0.000 0.172 0.172
0.004 0.006 0.162 0.162 0.000 0.163 0.163
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.150 0.150 0.000 0.151 0.151
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.150 0.150 0.000 0.152 0.152
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.157 0.157 0.000 0.158 0.158
0.004 0.006 0.155 0.155 0.000 0.156 0.157
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.147 0.147 0.000 0.149 0.149
0.004 0.006 0.167 0.167 0.000 0.169 0.169
0.004 0.006 0.151 0.151 0.000 0.152 0.153
0.004 0.006 0.164 0.164 0.000 0.165 0.165
0.004 0.006 0.155 0.155 0.000 0.156 0.156
0.004 0.006 0.159 0.159 0.000 0.160 0.160
0.004 0.006 0.150 0.151 0.000 0.152 0.152
0.004 0.005 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.165 0.165 0.000 0.166 0.166
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.164 0.164 0.000 0.165 0.165
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.005 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.157 0.157 0.000 0.158 0.159
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.144 0.144 0.000 0.146 0.146
0.004 0.006 0.154 0.154 0.000 0.155 0.156
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.149 0.149 0.000 0.151 0.151
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.165 0.165 0.000 0.166 0.166
0.004 0.006 0.160 0.161 0.000 0.162 0.162
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.152 0.152 0.000 0.153 0.154
0.004 0.006 0.161 0.161 0.000 0.162 0.162
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.148 0.148 0.000 0.149 0.149
0.004 0.006 0.164 0.165 0.000 0.166 0.166
0.004 0.006 0.163 0.163 0.000 0.164 0.164
0.004 0.006 0.163 0.163 0.000 0.164 0.164
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.150 0.150 0.000 0.152 0.152
0.004 0.006 0.168 0.168 0.000 0.170 0.170
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.159 0.159 0.000 0.160 0.161
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.167 0.167 0.000 0.168 0.168
0.004 0.006 0.160 0.160 0.000 0.161 0.161
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.155 0.155 0.000 0.156 0.156
0.004 0.006 0.171 0.171 0.000 0.173 0.173
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.005 0.148 0.148 0.000 0.150 0.150
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.161 0.161 0.000 0.162 0.163
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.149 0.149 0.000 0.151 0.151
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.012 0.014 0.172 0.172 0.000 0.175 0.175
0.004 0.006 0.158 0.158 0.000 0.161 0.161
0.004 0.006 0.148 0.148 0.000 0.150 0.150
0.004 0.006 0.150 0.150 0.000 0.152 0.152
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.158 0.158 0.000 0.161 0.161
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.170 0.170 0.000 0.172 0.172
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.005 0.166 0.166 0.000 0.167 0.167
0.004 0.006 0.146 0.146 0.000 0.148 0.148
0.004 0.006 0.157 0.157 0.000 0.158 0.158
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.167 0.167 0.000 0.169 0.169
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.157 0.158 0.000 0.160 0.160
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.148 0.148 0.000 0.150 0.150
0.004 0.006 0.149 0.149 0.000 0.150 0.150
0.004 0.006 0.152 0.153 0.000 0.154 0.154
0.004 0.006 0.156 0.156 0.000 0.157 0.158
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.165 0.165 0.000 0.166 0.166
0.004 0.006 0.149 0.149 0.000 0.151 0.151
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.005 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.153 0.153 0.000 0.154 0.154
0.004 0.006 0.161 0.161 0.000 0.162 0.162
0.004 0.005 0.145 0.145 0.000 0.146 0.146
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.168 0.168 0.000 0.170 0.170
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.196 0.196 0.000 0.197 0.197
0.004 0.006 0.158 0.158 0.000 0.160 0.161
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.155 0.155 0.000 0.158 0.158
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.163 0.163 0.000 0.164 0.164
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.178 0.178 0.000 0.180 0.180
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.160 0.160 0.000 0.162 0.162
0.004 0.006 0.146 0.146 0.000 0.147 0.147
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.165 0.165 0.000 0.166 0.166
0.004 0.006 0.129 0.129 0.000 0.131 0.131
0.004 0.006 0.149 0.149 0.000 0.150 0.150
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.157 0.157 0.000 0.158 0.159
0.004 0.006 0.151 0.151 0.000 0.152 0.152
0.004 0.006 0.163 0.163 0.000 0.164 0.165
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.131 0.131 0.000 0.133 0.133
0.004 0.006 0.159 0.159 0.000 0.161 0.161
0.004 0.006 0.149 0.150 0.000 0.151 0.151
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.154 0.154 0.000 0.156 0.156
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.160 0.161 0.000 0.162 0.162
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.183 0.183 0.000 0.184 0.185
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.164 0.164 0.000 0.165 0.165
0.004 0.006 0.147 0.147 0.000 0.148 0.148
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.158 0.158 0.000 0.159 0.159
0.004 0.006 0.177 0.177 0.000 0.178 0.179
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.159 0.159 0.000 0.160 0.160
0.004 0.006 0.151 0.151 0.000 0.153 0.153
0.004 0.006 0.164 0.164 0.000 0.165 0.165
0.004 0.006 0.175 0.175 0.000 0.177 0.177
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.147 0.147 0.000 0.149 0.149
0.004 0.006 0.164 0.164 0.000 0.166 0.166
0.004 0.006 0.167 0.167 0.000 0.169 0.169
0.004 0.006 0.144 0.144 0.000 0.146 0.146
0.004 0.006 0.152 0.152 0.000 0.154 0.154
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.163 0.163 0.000 0.165 0.165
0.004 0.006 0.155 0.155 0.000 0.156 0.157
0.004 0.006 0.156 0.156 0.000 0.158 0.158
0.004 0.006 0.162 0.162 0.000 0.163 0.163
0.012 0.014 0.160 0.160 0.000 0.162 0.162
0.004 0.005 0.153 0.153 0.000 0.156 0.156
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.165 0.165 0.000 0.167 0.167
0.004 0.006 0.135 0.135 0.000 0.137 0.137
0.004 0.006 0.153 0.153 0.000 0.155 0.155
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.156 0.156 0.000 0.157 0.157
0.004 0.006 0.153 0.153 0.000 0.154 0.155
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.165 0.165 0.000 0.166 0.166
0.004 0.006 0.161 0.161 0.000 0.163 0.163
0.004 0.006 0.155 0.155 0.000 0.157 0.157
0.004 0.006 0.146 0.146 0.000 0.148 0.148
0.004 0.006 0.183 0.183 0.000 0.184 0.184
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.158 0.158 0.000 0.160 0.160
0.004 0.006 0.161 0.161 0.000 0.162 0.162
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.157 0.157 0.000 0.159 0.159
0.004 0.006 0.145 0.145 0.000 0.146 0.146
0.004 0.006 0.166 0.166 0.000 0.168 0.168
0.004 0.006 0.162 0.162 0.000 0.164 0.164
0.004 0.006 0.154 0.154 0.000 0.156 0.156
